Roll_No,Total_Enrolled,Total_Released,Total_Present,Total_Absent,Rows,Bad_Rows,Effective_Enrolled,Attendance_Percent,Proxy_Soft_Outlier,Proxy_Row_Score,Proxy_Row_Incidents,Proxy_Row_Reasons_Collected,Proxy_Risk_Score,Proxy_Reasons
1,172,0,153,19,1,0,172,88.95348837209302,FALSE,0,0,[],0,None
2,171,0,154,17,1,0,171,90.05847953216374,FALSE,0,0,[],0,None
3,172,0,158,14,1,0,172,91.86046511627907,FALSE,0,0,[],0,None
4,173,0,166,7,1,0,173,95.95375722543352,FALSE,0,0,[],0,None
5,173,0,164,9,1,0,173,94.79768786127168,FALSE,0,0,[],0,None
6,173,0,162,11,1,0,173,93.64161849710983,FALSE,0,0,[],0,None
7,173,0,163,10,1,0,173,94.21965317919076,FALSE,0,0,[],0,None
8,174,0,167,7,1,0,174,95.97701149425288,FALSE,0,0,[],0,None
9,174,0,167,7,1,0,174,95.97701149425288,FALSE,0,0,[],0,None
10,174,0,166,8,1,0,174,95.40229885057471,FALSE,0,0,[],0,None
11,174,0,161,13,1,0,174,92.52873563218391,FALSE,0,0,[],0,None
12,174,0,165,9,1,0,174,94.82758620689656,FALSE,0,0,[],0,None
13,174,0,168,6,1,0,174,96.55172413793103,FALSE,0,0,[],0,None
14,173,0,166,7,1,0,173,95.95375722543352,FALSE,0,0,[],0,None
15,173,0,158,15,1,0,173,91.32947976878613,FALSE,0,0,[],0,None
16,172,0,168,4,1,0,172,97.67441860465117,FALSE,0,0,[],0,None
17,172,0,165,7,1,0,172,95.93023255813954,FALSE,0,0,[],0,None
18,171,0,163,8,1,0,171,95.32163742690058,FALSE,0,0,[],0,None
19,171,0,161,10,1,0,171,94.15204678362574,FALSE,0,0,[],0,None
20,170,0,162,8,1,0,170,95.29411764705883,FALSE,0,0,[],0,None
21,170,0,156,14,1,0,170,91.76470588235294,FALSE,0,0,[],0,None
22,170,0,159,11,1,0,170,93.52941176470588,FALSE,0,0,[],0,None
23,170,0,161,9,1,0,170,94.70588235294117,FALSE,0,0,[],0,None
24,170,0,159,11,1,0,170,93.52941176470588,FALSE,0,0,[],0,None
25,170,0,159,11,1,0,170,93.52941176470588,FALSE,0,0,[],0,None
26,170,0,164,6,1,0,170,96.47058823529412,FALSE,0,0,[],0,None
27,170,0,165,5,1,0,170,97.05882352941177,FALSE,0,0,[],0,None
28,170,0,162,8,1,0,170,95.29411764705883,FALSE,0,0,[],0,None
29,170,0,156,14,1,0,170,91.76470588235294,FALSE,0,0,[],0,None
30,170,0,150,20,1,0,170,88.23529411764706,FALSE,0,0,[],0,None
31,171,0,166,5,1,0,171,97.07602339181287,FALSE,0,0,[],0,None
32,171,0,162,9,1,0,171,94.73684210526316,FALSE,0,0,[],0,None
33,171,0,165,6,1,0,171,96.49122807017544,FALSE,0,0,[],0,None
34,171,0,161,10,1,0,171,94.15204678362574,FALSE,0,0,[],0,None
35,174,0,163,11,1,0,174,93.67816091954023,FALSE,0,0,[],0,None
36,174,0,168,6,1,0,174,96.55172413793103,FALSE,0,0,[],0,None
